ArgumentBlock,TWType,ArgumentNumber,ArgumentType,CorrectAnswer,premise1,premise2,conclusion,TW
T,L,5,TPFC,N,L'attività ha visto un ... ,Un ... è una manovra dell'aereo ,L'attività ha visto una manovra dell'aereo,DECOLLO
T,L,6,TPFC,N,Il comico è una ... ,Una ... è una linea di contorno ,Il comico è una linea di contorno,SAGOMA
T,L,7,TPTC,Y,Mario segue il ... ,Il ... è un gruppo conformista ,Mario segue un gruppo conformista,GREGGE
T,L,8,TPTC,Y,L'aggressività è un'... ,Un'... è una difesa ,L'aggressività è una difesa,ARMATURA
T,L,9,TPTC,Y,Gigi guadagna la ... ,La ... è il sostentamento quotidiano ,Gigi guadagna il sostentamento quotidiano,PAGNOTTA
T,L,10,TPTC,Y,La vita è un ... ,Un ... è complesso ,La vita è complessa,REBUS
T,L,11,TPTC,Y,I valori costituiscono uno ... ,Uno ... è un sistema di riferimento ,I valori costituiscono un sistema di riferimento,SFONDO
T,L,12,TPTC,Y,L'amicizia è un ... ,Un ... è un aiuto ,L'amicizia è un aiuto,SUPPORTO
T,L,13,TPPC,N,Franco ha chiuso un ... ,Un ... è una parte del libro ,Franco ha chiuso una parte del libro,CAPITOLO
T,L,14,TPPC,N,Quella ragazza è una ... ,Una ... è una pietra preziosa ,Quella ragazza è una pietra preziosa,GEMMA
T,L,15,TPPC,N,Uno tzunami è un'... ,Un'... è una serie di eventi ,Uno tzunami è una serie di eventi,ONDATA
T,L,16,TPPC,N,La presidenza è l... ,L... è la parte più alta ,La presidenza è la parte più alta,APICE
T,L,17,TPPC,N,Una risata è un ... ,Un ... serve alla salute ,Una risata serve alla salute,FARMACO
T,L,18,TPPC,N,Il corpo è un ... ,Il ... è sacro ,Il corpo è sacro,TEMPIO
T,V,1,TPFC,N,Un vortice è un ... ,Un ... è siciliano ,Un vortice è siciliano,CANNOLO
T,V,2,TPFC,N,Un'esperienza è un ... ,Un ... ha quattro ruote ,Un'esperienza ha quattro ruote,CAMPER
T,V,3,TPFC,N,Una cozza è un ... ,Un ... contiene penne ,Una cozza contiene penne,ASTUCCIO
T,V,4,TPFC,N,Il movimento è una ... ,Una ... ha una pagaia ,Il movimento ha una pagaia,CANOA
T,V,5,TPFC,N,Il vento è un ... ,Un ... è un uomo ,Il vento è un uomo,BIDELLO
T,V,6,TPFC,N,L'Africa è un ... ,Un ... decora le pareti ,L'Africa decora le pareti,ARAZZO
T,V,7,TPTC,Y,Il migliore amico è un ... ,Un ... è una persona somigliante ,Il migliore amico è una persona somigliante,SOSIA
T,V,8,TPTC,Y,L'altruismo è una ... ,Una ... è uno slancio ,L'altruismo è uno slancio,RINCORSA
T,V,9,TPTC,Y,La mafia è un ... ,Un ... ha tentacoli ,La mafia ha tentacoli,POLPO
T,V,10,TPTC,Y,Un fan è uno ... ,Uno ... favorisce l'organizzazione ,Un fan favorisce l'organizzazione,SPONSOR
T,V,11,TPTC,Y,L'odio è una ... ,Una ... è arida ,L'odio è arido,STEPPA
T,V,12,TPTC,Y,L'onore è una ... ,Una ... è la difesa dell'identità ,L'onore è la difesa dell'identità,CASATA
T,V,13,TPPC,N,Il gallo è un ... ,Un ... è un capo ,Il gallo è un capo,FARAONE
T,V,14,TPPC,N,Quel bimbo è un ... ,Il ... è dolce ,Quel bimbo è dolce,PANDORO
T,V,15,TPPC,N,Un grido è un ... ,Un ... emette suoni ,Un grido emette suoni,MEGAFONO
T,V,16,TPPC,N,Uno spirito è uno ... ,Uno ... è un personaggio di fantasia ,Uno spirito è un personaggio di fantasia,GNOMO
T,V,17,TPPC,N,Il cuore è un'... ,Un'... trasporta liquidi ,Il cuore trasporta liquidi,ANFORA
T,V,18,TPPC,N,Il lavoro è un ... ,Un ... serve nei campi ,Il lavoro serve nei campi,BADILE
P,O,1,TPFC,N,La felpa ha il ... ,Il ... è una bevanda ,La felpa ha una bevanda,CAPPUCCIO
P,O,2,TPTC,Y,Il Ticino è un ... ,Un ... è un fiume ,Il Ticino è un fiume,EMISSARIO
P,P,1,TPFC,N,La lavatrice ha un ... ,Un ... contiene bottiglie ,La lavatrice contiene bottiglie,CESTELLO
P,P,2,TPTC,Y,Sara gestisce una ... ,Una ... è un locale ,Sara gestisce un locale,DISCOTECA
P,L,1,TPFC,N,Un punto fermo è un ... ,Un ... è un piccolo palo ,Un punto fermo è un piccolo palo,PALETTO
P,L,2,TPPC,N,La laurea è un ... ,Un ... consente il riposo ,La laurea consente il riposo,APPRODO
P,V,1,TPTC,Y,La gioia è una ... ,Una ... è vivace ,La gioia è vivace,SAMBA
P,V,2,TPFC,N,Il conforto è una ... ,Una ... scende dalla nave ,Il conforto scende dalla nave,SCIALUPPA
